slug,url,source,words,published,clicks_90d,impr_90d,pos_90d,clicks_prev90,action,redirect_target,rationale
jcb-telehandler-parking-brake-stuck-on-solenoid-release-guide,/insights/jcb-telehandler-parking-brake-stuck-on-solenoid-release-guide,outrank,4540,2025-12-19,8,693,9.5,5,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
jcb-js-130-throttle-motor-calibration-and-replacement-steps,/insights/jcb-js-130-throttle-motor-calibration-and-replacement-steps,outrank,3756,2026-01-03,8,328,7.9,4,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
jcb-telehandler-parking-brake-pad-replacement-15-920284,/insights/jcb-telehandler-parking-brake-pad-replacement-15-920284,outrank,3077,2026-01-06,4,239,15.2,1,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
yale-mpb-040-pallet-jack-troubleshooting,/insights/yale-mpb-040-pallet-jack-troubleshooting,outrank,4221,2026-02-03,4,105,7.6,2,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
jcb-telehandler-ad-blue-system-faults-pump-vs-injector,/insights/jcb-telehandler-ad-blue-system-faults-pump-vs-injector,outrank,4109,2025-12-11,3,259,7.6,3,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
jcb-fastrac-suspension-fault-codes-and-sensor-calibration,/insights/jcb-fastrac-suspension-fault-codes-and-sensor-calibration,outrank,4264,2026-01-11,3,119,7.3,1,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
reset-cat-262-b-service-light-tool,/insights/reset-cat-262-b-service-light-tool,outrank,3246,2026-01-24,3,27,10.8,0,KEEP+CLEAN,,"Small but real traffic. Low-priority clean."
cat-forklift-fault-codes,/insights/cat-forklift-fault-codes,legacy,1161,2024-10-24,12,2334,12.6,15,REWRITE,,"611 impr/28d, pos 13, 2 clicks. Lost head term (was 243 clicks/mo May-2025). SERP now Intella/mechnician/JustAnswer code tables — needs a real code table + clear procedure, not prose."
jcb-telehandler-joystick-controls,/insights/jcb-telehandler-joystick-controls,legacy,849,2024-07-27,2,288,36.4,3,REWRITE,,"288 impr/90d at pos 36.4 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
forklift-training-classes,/insights/forklift-training-classes,legacy,658,2025-01-19,1,584,91.3,0,REWRITE,,"584 impr/90d at pos 91.3 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
how-to-get-a-forklift-license,/insights/how-to-get-a-forklift-license,legacy,1130,2025-01-19,0,1718,83.8,0,REWRITE,,"1718 impr/90d at pos 83.8 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
forklift-certification-requirements,/insights/forklift-certification-requirements,outrank,4216,2025-11-20,0,1235,82.4,0,REWRITE,,"1,235 impr/90d, 0 clicks, pos 82. Google keeps testing it. Cut to ~1,200 words, lead with the 5 OSHA requirements, CTA to /safety checkout. Compete with certifyme/jjkeller format."
jlg-t350,/insights/jlg-t350,legacy,4580,2024-09-11,0,202,55.4,0,REWRITE,,"202 impr/90d at pos 55.4 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
mobile-elevating-work-platform-training,/insights/mobile-elevating-work-platform-training,outrank,4310,2025-12-08,0,146,88.7,0,REWRITE,,"146 impr/90d, pos 89, 0 clicks. Only if MEWP training is a product; otherwise REDIRECT → /safety."
best-lithium-batteries-for-golf-carts,/insights/best-lithium-batteries-for-golf-carts,outrank,4287,2025-12-04,0,94,58.9,0,REWRITE,,"94 impr/90d, pos 59. Commercial topic that maps to Lithium Rhino kits — rewrite as a short comparison landing on the kit PDPs."
osha-forklift-trainer-requirements,/insights/osha-forklift-trainer-requirements,outrank,3857,2025-11-12,0,87,85.8,0,REWRITE,,"87 impr/90d at pos 85.8 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
forks-for-a-backhoe,/insights/forks-for-a-backhoe,legacy,524,2024-02-24,0,69,54,0,REWRITE,,"69 impr/90d at pos 54 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
charger-for-forklift,/insights/charger-for-forklift,outrank,4318,2025-11-26,0,64,80.7,0,REWRITE,,"64 impr/90d at pos 80.7 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
jlg-450aj,/insights/jlg-450aj,legacy,3189,2024-09-11,0,57,61.9,0,REWRITE,,"57 impr/90d at pos 61.9 — Google sees it, users skip it. Cut length, lead with the answer, add a real CTA."
gehl-serial-number-lookup,/insights/gehl-serial-number-lookup,legacy,678,2024-09-07,49,918,8.8,49,REDIRECT,/parts/construction-equipment-parts/gehl-serial-number-lookup,"Duplicate of #1-ranking /parts/ page (103 vs 18 clicks/28d; both rank for same query at #1 and #14)."
toyota-forklift-year-by-serial-number,/insights/toyota-forklift-year-by-serial-number,legacy,1568,2024-10-14,15,941,18,27,REDIRECT,/parts/toyota-forklift-year-by-serial-number,"Third copy of the same topic (/parts/ 14 clicks, /toyota-forklift-serial-lookup 8, this 3). Fold into /parts/ copy; decide separately whether the tool page absorbs both."
forklift-daily-inspection-checklist,/insights/forklift-daily-inspection-checklist,legacy,19,2024-02-21,0,0,,0,REDIRECT,/insights/osha-forklift-inspection-checklist,"19-word stub."
forklift-repair-parts-ohio,/insights/forklift-repair-parts-ohio,legacy,182,2024-02-24,0,0,,0,REDIRECT,/parts,"182-word geo stub; parts ship-only."
forklift-safety-standards-ohio,/insights/forklift-safety-standards-ohio,legacy,59,2024-07-28,0,0,,0,REDIRECT,/safety,"59-word geo stub; no on-site service in Ohio."
genie-fault-code-2000-12,/insights/genie-fault-code-2000-12,legacy,69,2024-06-12,0,0,,0,REDIRECT,/parts/aerial-equipment/genie-scissor-lift-error-codes,"69-word stub; hub already covers 2000-12."
replacing-hyster-ignition-switch-with-universal-key,/insights/replacing-hyster-ignition-switch-with-universal-key,outrank,3583,2026-02-05,1,35,9.2,0,HOLD,,"35 impr/90d, pos 9.2. Marginal — watch one more quarter or fold into a hub."
jcb-3-cx-electrical-connector-corrosion-under-cab-fix,/insights/jcb-3-cx-electrical-connector-corrosion-under-cab-fix,outrank,4614,2025-12-21,1,31,9.8,0,HOLD,,"31 impr/90d, pos 9.8. Marginal — watch one more quarter or fold into a hub."
jlg-1600292-controller,/insights/jlg-1600292-controller,legacy,547,2024-08-24,1,4,4.8,0,HOLD,,"Ranks top-12 (pos 4.8) on a low-volume PN/model query (4 impr/90d). Harmless; keep unless consolidating the cluster."
cuanto-dura-la-certificacion-de-montacargas,/insights/cuanto-dura-la-certificacion-de-montacargas,legacy,389,2026-06-09,0,178,7.6,0,HOLD,,"Published 2026-06-09 (<4 months) — too new to judge."
jcb-ad-blue-pump-failure-symptoms-and-replacement-cost,/insights/jcb-ad-blue-pump-failure-symptoms-and-replacement-cost,outrank,4758,2026-01-14,0,46,17.6,1,HOLD,,"46 impr/90d, pos 17.6. Marginal — watch one more quarter or fold into a hub."
jcb-3-cx-powershift-transmission-overheating-oil-cooler-flush,/insights/jcb-3-cx-powershift-transmission-overheating-oil-cooler-flush,outrank,4461,2026-01-13,0,45,9.1,2,HOLD,,"45 impr/90d, pos 9.1. Marginal — watch one more quarter or fold into a hub."
osha-forklift-training-requirements,/insights/osha-forklift-training-requirements,outrank,4257,2025-11-08,0,42,75.4,0,HOLD,,"42 impr/90d, pos 75.4. Marginal — watch one more quarter or fold into a hub."
how-to-desulfate-batteries,/insights/how-to-desulfate-batteries,outrank,4139,2025-12-05,0,37,52.6,0,HOLD,,"37 impr/90d, pos 52.6. Marginal — watch one more quarter or fold into a hub."
forklift-center-of-gravity,/insights/forklift-center-of-gravity,outrank,4539,2025-11-25,0,33,31.1,0,HOLD,,"33 impr/90d, pos 31.1. Marginal — watch one more quarter or fold into a hub."
how-old-must-you-be-to-operate-a-forklift-2,/insights/how-old-must-you-be-to-operate-a-forklift-2,legacy,1050,2024-10-14,0,33,54.1,0,HOLD,,"33 impr/90d, pos 54.1. Marginal — watch one more quarter or fold into a hub."
hyster-50-transmission-fluid-capacity,/insights/hyster-50-transmission-fluid-capacity,outrank,2107,2026-01-27,0,31,6.7,0,HOLD,,"31 impr/90d, pos 6.7. Marginal — watch one more quarter or fold into a hub."
forklift-maintenance-checklist,/insights/forklift-maintenance-checklist,outrank,4887,2025-11-19,0,27,64.6,0,HOLD,,"27 impr/90d, pos 64.6. Marginal — watch one more quarter or fold into a hub."
how-to-choose-forklift-battery-charger,/insights/how-to-choose-forklift-battery-charger,legacy,1706,2025-08-19,0,27,69.4,0,HOLD,,"27 impr/90d, pos 69.4. Marginal — watch one more quarter or fold into a hub."
telehandler-rental-rates,/insights/telehandler-rental-rates,outrank,4080,2025-11-27,0,24,64.3,0,HOLD,,"24 impr/90d, pos 64.3. Marginal — watch one more quarter or fold into a hub."
jaltest-vs-cat-et-for-skid-steers,/insights/jaltest-vs-cat-et-for-skid-steers,outrank,3589,2026-01-16,0,22,7.5,0,HOLD,,"22 impr/90d, pos 7.5. Marginal — watch one more quarter or fold into a hub."
jcb-loadall-hydraulic-pump-cavitation-noise-and-power-loss,/insights/jcb-loadall-hydraulic-pump-cavitation-noise-and-power-loss,outrank,4508,2026-01-09,0,19,49.6,0,HOLD,,"19 impr/90d, pos 49.6. Marginal — watch one more quarter or fold into a hub."
aerial-lift-inspection-checklist,/insights/aerial-lift-inspection-checklist,outrank,4810,2025-11-18,0,15,17.5,0,HOLD,,"15 impr/90d, pos 17.5. Marginal — watch one more quarter or fold into a hub."
best-diagnostic-scanner-for-mixed-construction-fleet,/insights/best-diagnostic-scanner-for-mixed-construction-fleet,outrank,3937,2026-01-17,0,13,51.2,0,HOLD,,"13 impr/90d, pos 51.2. Marginal — watch one more quarter or fold into a hub."
jcb-excavator-throttle-motor-calibration-guide,/insights/jcb-excavator-throttle-motor-calibration-guide,outrank,4255,2025-12-22,0,12,12.4,0,HOLD,,"12 impr/90d, pos 12.4. Marginal — watch one more quarter or fold into a hub."
jcb-quick-hitch-solenoid-valve-testing-and-bypass,/insights/jcb-quick-hitch-solenoid-valve-testing-and-bypass,outrank,4250,2026-01-04,0,12,8.3,1,HOLD,,"12 impr/90d, pos 8.3. Marginal — watch one more quarter or fold into a hub."
como-sacar-la-licencia-de-montacargas,/insights/como-sacar-la-licencia-de-montacargas,legacy,554,2026-06-09,0,11,72.7,0,HOLD,,"Published 2026-06-09 (<4 months) — too new to judge."
requisitos-osha-certificacion-montacargas,/insights/requisitos-osha-certificacion-montacargas,legacy,440,2026-06-09,0,11,29.2,0,HOLD,,"Published 2026-06-09 (<4 months) — too new to judge."
hyster-1688643-8-00-20-wheel-rim,/insights/hyster-1688643-8-00-20-wheel-rim,legacy,119,2024-01-31,0,10,8.2,0,HOLD,,"10 impr/90d, pos 8.2. Marginal — watch one more quarter or fold into a hub."
toyota-4-y-engine-tune-up-kit,/insights/toyota-4-y-engine-tune-up-kit,outrank,4392,2026-01-31,0,10,11,0,HOLD,,"10 impr/90d, pos 11. Marginal — watch one more quarter or fold into a hub."
lithium-vs-lead-acid-golf-cart-batteries-2026-guide,/insights/lithium-vs-lead-acid-golf-cart-batteries-2026-guide,legacy,2085,2026-05-14,0,9,52.1,0,HOLD,,"Published 2026-05-14 (<4 months) — too new to judge."
crown-rr-5200-operator-manual-error-codes,/insights/crown-rr-5200-operator-manual-error-codes,outrank,1760,2026-02-06,0,8,8.8,0,HOLD,,"Ranks top-12 (pos 8.8) on a low-volume PN/model query (8 impr/90d). Harmless; keep unless consolidating the cluster."
cuanto-cuesta-la-certificacion-de-montacargas,/insights/cuanto-cuesta-la-certificacion-de-montacargas,legacy,396,2026-06-09,0,7,17,0,HOLD,,"Published 2026-06-09 (<4 months) — too new to judge."
36-v-to-12-v-voltage-converter,/insights/36-v-to-12-v-voltage-converter,outrank,3776,2025-12-28,0,4,9.3,0,HOLD,,"Ranks top-12 (pos 9.3) on a low-volume PN/model query (4 impr/90d). Harmless; keep unless consolidating the cluster."
bobcat-dealer-password-reset-tool-jaltest,/insights/bobcat-dealer-password-reset-tool-jaltest,outrank,2680,2026-01-25,0,4,8,0,HOLD,,"Ranks top-12 (pos 8) on a low-volume PN/model query (4 impr/90d). Harmless; keep unless consolidating the cluster."
jaltest-off-highway-coverage-list-2026,/insights/jaltest-off-highway-coverage-list-2026,outrank,2019,2026-01-19,0,4,12,0,HOLD,,"Ranks top-12 (pos 12) on a low-volume PN/model query (4 impr/90d). Harmless; keep unless consolidating the cluster."
genie-1256727gt-joystick,/insights/genie-1256727gt-joystick,legacy,563,2025-05-12,0,2,9.5,0,HOLD,,"Ranks top-12 (pos 9.5) on a low-volume PN/model query (2 impr/90d). Harmless; keep unless consolidating the cluster."
jaltest-cable-kit-for-skid-steers-9-pin,/insights/jaltest-cable-kit-for-skid-steers-9-pin,outrank,3379,2026-01-21,0,2,3.5,0,HOLD,,"Ranks top-12 (pos 3.5) on a low-volume PN/model query (2 impr/90d). Harmless; keep unless consolidating the cluster."
12-volt-converter,/insights/12-volt-converter,outrank,4521,2025-12-07,0,1,6,0,HOLD,,"Ranks top-12 (pos 6) on a low-volume PN/model query (1 impr/90d). Harmless; keep unless consolidating the cluster."
curso-de-montacargas-en-linea,/insights/curso-de-montacargas-en-linea,legacy,401,2026-06-09,0,1,69,0,HOLD,,"Published 2026-06-09 (<4 months) — too new to judge."
forklift-operator-evaluation-form,/insights/forklift-operator-evaluation-form,outrank,3675,2025-11-13,0,1,10,0,HOLD,,"Ranks top-12 (pos 10) on a low-volume PN/model query (1 impr/90d). Harmless; keep unless consolidating the cluster."
jaltest-subscription-cost-construction-equipment,/insights/jaltest-subscription-cost-construction-equipment,outrank,3082,2026-01-23,0,1,2,0,HOLD,,"Ranks top-12 (pos 2) on a low-volume PN/model query (1 impr/90d). Harmless; keep unless consolidating the cluster."
how-to-get-forklift-certified,/insights/how-to-get-forklift-certified,outrank,1500,2026-07-11,0,0,,0,HOLD,,"Published 2026-07-11 (<4 months) — too new to judge."
warehouse-safety-tips,/insights/warehouse-safety-tips,outrank,5222,2025-11-14,0,8,31.4,0,REMOVE,/safety,"Outrank batch, 5222w, 8 impressions in 90 days after 298 days live."
yale-forklift-brake-adjustment-procedure,/insights/yale-forklift-brake-adjustment-procedure,outrank,3844,2026-01-30,0,8,18.6,0,REMOVE,/parts?brand=Yale,"Outrank batch, 3844w, 8 impressions in 90 days after 221 days live."
diagnose-case-and-cat-with-one-scanner,/insights/diagnose-case-and-cat-with-one-scanner,outrank,3439,2026-01-20,0,6,28.3,0,REMOVE,/case-serial-number-lookup,"Outrank batch, 3439w, 6 impressions in 90 days after 231 days live."
enhancing-forklift-performance-aftermarket-parts,/insights/enhancing-forklift-performance-aftermarket-parts,legacy,603,2024-02-03,0,6,76.8,0,REMOVE,/parts,"603-word legacy stub, 6 impressions in 90 days."
heavy-equipment-laptop-scanner-combo,/insights/heavy-equipment-laptop-scanner-combo,outrank,3810,2026-01-22,0,6,52,0,REMOVE,/insights/jaltest-vs-cat-et-for-skid-steers,"Outrank batch, 3810w, 6 impressions in 90 days after 229 days live."
jcb-p-0117-coolant-temperature-sensor-location-and-swap,/insights/jcb-p-0117-coolant-temperature-sensor-location-and-swap,outrank,3097,2025-12-23,0,5,14.8,1,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 3097w, 5 impressions in 90 days after 259 days live."
dc-to-dc-converter-48-v-to-12-v,/insights/dc-to-dc-converter-48-v-to-12-v,outrank,3351,2025-12-29,0,4,29.3,0,REMOVE,/battery-chargers,"Outrank batch, 3351w, 4 impressions in 90 days after 253 days live."
jcb-js-220-track-motor-floating-seal-replacement-guide,/insights/jcb-js-220-track-motor-floating-seal-replacement-guide,outrank,4772,2026-01-12,0,3,13.7,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4772w, 3 impressions in 90 days after 239 days live."
forklift-training-requirements,/insights/forklift-training-requirements,outrank,4134,2025-12-01,0,2,17.5,0,REMOVE,/safety,"Outrank batch, 4134w, 2 impressions in 90 days after 281 days live."
safety-training-course,/insights/safety-training-course,outrank,4056,2025-11-07,0,2,54,0,REMOVE,/safety,"Outrank batch, 4056w, 2 impressions in 90 days after 305 days live."
24-volt-forklift-battery-charger,/insights/24-volt-forklift-battery-charger,outrank,4098,2025-12-06,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4098w, 0 impressions in 90 days after 276 days live."
aerial-lift-certification,/insights/aerial-lift-certification,legacy,2197,2025-02-03,0,0,,0,REMOVE,/safety,"2197w legacy post, 0 impressions in 90 days after 582 days live."
aerial-lift-training,/insights/aerial-lift-training,outrank,3989,2025-11-23,0,0,,0,REMOVE,/safety,"Outrank batch, 3989w, 0 impressions in 90 days after 289 days live."
battery-charger-for-golf-carts-36-v,/insights/battery-charger-for-golf-carts-36-v,outrank,4715,2025-12-27,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4715w, 0 impressions in 90 days after 255 days live."
bent-forklift-forks,/insights/bent-forklift-forks,legacy,155,2024-02-24,0,0,,0,REMOVE,/parts/category/forks,"155-word legacy stub, 0 impressions in 90 days."
bms-integration-lithium-forklift-chargers,/insights/bms-integration-lithium-forklift-chargers,legacy,1776,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"1776w legacy post, 0 impressions in 90 days after 385 days live."
carpet-poles-for-forklifts,/insights/carpet-poles-for-forklifts,legacy,174,2024-02-24,0,0,,0,REMOVE,/parts/category/forks,"174-word legacy stub, 0 impressions in 90 days."
case-1840-specs,/insights/case-1840-specs,legacy,2584,2024-09-30,0,0,,0,REMOVE,/case-serial-number-lookup,"2584w legacy post, 0 impressions in 90 days after 708 days live."
cat-p5000-throttle-control-switch-troubleshooting,/insights/cat-p5000-throttle-control-switch-troubleshooting,legacy,1719,2024-10-19,0,0,,0,REMOVE,/insights/cat-forklift-fault-codes,"1719w legacy post, 0 impressions in 90 days after 689 days live."
changing-hydraulic-oil-toyota-7-series-forklift,/insights/changing-hydraulic-oil-toyota-7-series-forklift,outrank,3408,2026-01-28,0,0,,0,REMOVE,/toyota-forklift-serial-lookup,"Outrank batch, 3408w, 0 impressions in 90 days after 223 days live."
charging-electric-forklift,/insights/charging-electric-forklift,outrank,4705,2025-11-30,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4705w, 0 impressions in 90 days after 282 days live."
complete-guide-forklift-battery-chargers,/insights/complete-guide-forklift-battery-chargers,legacy,4681,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"4681w legacy post, 0 impressions in 90 days after 385 days live."
crown-electric-forklift-battery-watering-guide,/insights/crown-electric-forklift-battery-watering-guide,outrank,3319,2026-02-02,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 3319w, 0 impressions in 90 days after 218 days live."
crown-rc-5500-fault-code-312-fix,/insights/crown-rc-5500-fault-code-312-fix,outrank,3638,2026-01-29,0,0,,0,REMOVE,/brand/crown/serial-lookup,"Outrank batch, 3638w, 0 impressions in 90 days after 222 days live."
do-skid-steers-have-titles,/insights/do-skid-steers-have-titles,legacy,1080,2024-09-07,0,0,,0,REMOVE,/parts,"1080w legacy post, 0 impressions in 90 days after 731 days live."
electric-forklift-charging,/insights/electric-forklift-charging,outrank,4459,2025-11-28,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4459w, 0 impressions in 90 days after 284 days live."
electric-pallet-jack-certification,/insights/electric-pallet-jack-certification,outrank,2934,2025-12-25,0,0,,0,REMOVE,/safety,"Outrank batch, 2934w, 0 impressions in 90 days after 257 days live."
enhancing-forklift-safety-camera-systems,/insights/enhancing-forklift-safety-camera-systems,legacy,560,2024-02-03,0,0,,0,REMOVE,/parts,"560-word legacy stub, 0 impressions in 90 days."
enhancing-forklift-safety-tech,/insights/enhancing-forklift-safety-tech,legacy,593,2024-02-03,0,0,,0,REMOVE,/parts,"593-word legacy stub, 0 impressions in 90 days."
ep-forklifts,/insights/ep-forklifts,legacy,2243,2025-05-12,0,0,,0,REMOVE,/parts,"2243w legacy post, 0 impressions in 90 days after 484 days live."
fast-vs-overnight-forklift-charging,/insights/fast-vs-overnight-forklift-charging,legacy,1823,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"1823w legacy post, 0 impressions in 90 days after 385 days live."
fixing-jcb-p-0107-atmospheric-pressure-sensor-faults,/insights/fixing-jcb-p-0107-atmospheric-pressure-sensor-faults,outrank,4141,2025-12-17,0,0,,0,REMOVE,/brand/jcb/fault-codes,"Outrank batch, 4141w, 0 impressions in 90 days after 265 days live."
fork-extensions-for-forklifts,/insights/fork-extensions-for-forklifts,legacy,564,2024-02-24,0,0,,0,REMOVE,/parts/category/forks,"564-word legacy stub, 0 impressions in 90 days."
forklift-aerial-platforms,/insights/forklift-aerial-platforms,outrank,4486,2025-11-22,0,0,,0,REMOVE,/parts,"Outrank batch, 4486w, 0 impressions in 90 days after 290 days live."
forklift-and-pedestrian-safety,/insights/forklift-and-pedestrian-safety,outrank,4545,2025-12-03,0,0,,0,REMOVE,/safety,"Outrank batch, 4545w, 0 impressions in 90 days after 279 days live."
forklift-battery-chargers,/insights/forklift-battery-chargers,legacy,2952,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"2952w legacy post, 0 impressions in 90 days after 385 days live."
forklift-charger-module-supplier,/insights/forklift-charger-module-supplier,legacy,974,2025-01-27,0,0,,0,REMOVE,/battery-chargers,"974w legacy post, 0 impressions in 90 days after 589 days live."
forklift-charger-voltage-comparison,/insights/forklift-charger-voltage-comparison,legacy,1570,2025-08-19,0,0,,0,REMOVE,/battery-chargers,"1570w legacy post, 0 impressions in 90 days after 385 days live."
forklift-charging-stations,/insights/forklift-charging-stations,outrank,4634,2025-12-31,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4634w, 0 impressions in 90 days after 251 days live."
forklift-fork-sizes,/insights/forklift-fork-sizes,outrank,4014,2025-12-26,0,0,,0,REMOVE,/parts/category/forks,"Outrank batch, 4014w, 0 impressions in 90 days after 256 days live."
forklift-forks-class-3,/insights/forklift-forks-class-3,legacy,893,2024-02-27,0,0,,0,REMOVE,/parts/category/forks,"893w legacy post, 0 impressions in 90 days after 924 days live."
forklift-forks,/insights/forklift-forks,legacy,2325,2024-02-19,0,0,,0,REMOVE,/parts/category/forks,"2325w legacy post, 0 impressions in 90 days after 932 days live."
forklift-lumber-forks,/insights/forklift-lumber-forks,legacy,1894,2025-05-12,0,0,,0,REMOVE,/parts/category/forks,"1894w legacy post, 0 impressions in 90 days after 484 days live."
forklift-operator-safety-training,/insights/forklift-operator-safety-training,outrank,4110,2025-11-24,0,0,,0,REMOVE,/safety,"Outrank batch, 4110w, 0 impressions in 90 days after 288 days live."
forklift-osha-certification,/insights/forklift-osha-certification,outrank,4166,2025-11-06,0,0,,0,REMOVE,/safety,"Outrank batch, 4166w, 0 impressions in 90 days after 306 days live."
forklift-parts-cold-storage-guide,/insights/forklift-parts-cold-storage-guide,legacy,580,2024-02-03,0,0,,0,REMOVE,/parts,"580-word legacy stub, 0 impressions in 90 days."
forklift-parts-online,/insights/forklift-parts-online,outrank,4091,2025-11-09,0,0,,0,REMOVE,/parts,"Outrank batch, 4091w, 0 impressions in 90 days after 303 days live."
forklift-side-shifter,/insights/forklift-side-shifter,legacy,1778,2024-09-23,0,0,,0,REMOVE,/parts/category/forks,"1778w legacy post, 0 impressions in 90 days after 715 days live."
forklift-training-certificate-template,/insights/forklift-training-certificate-template,outrank,3397,2025-11-17,0,0,,0,REMOVE,/safety,"Outrank batch, 3397w, 0 impressions in 90 days after 295 days live."
forklift-truck-charger,/insights/forklift-truck-charger,outrank,4402,2025-12-30,0,0,,0,REMOVE,/battery-chargers,"Outrank batch, 4402w, 0 impressions in 90 days after 252 days live."
future-green-material-handling,/insights/future-green-material-handling,legacy,530,2024-02-03,0,0,,0,REMOVE,/parts,"530-word legacy stub, 0 impressions in 90 days."
